Time,Open,High,Low,Close,Volume 
2008.01.01 00:00:00,0.9984,0.9986,0.9912,0.9922,1
2008.01.02 00:00:00,0.9922,0.997,0.9859,0.9927,1
2008.01.03 00:00:00,0.9927,0.9966,0.9871,0.9894,1
2008.01.04 00:00:00,0.9894,1.0035,0.9839,1.002,1
2008.01.07 00:00:00,1.002,1.0081,0.9967,1.005,1
2008.01.08 00:00:00,1.005,1.0071,0.9964,1.0069,1
2008.01.09 00:00:00,1.0069,1.0123,1.0018,1.0101,1
2008.01.10 00:00:00,1.0101,1.015,1.0049,1.0089,1
2008.01.11 00:00:00,1.0089,1.0221,1.0068,1.0196,1
2008.01.14 00:00:00,1.0196,1.0211,1.0144,1.017,1
2008.01.15 00:00:00,1.017,1.0197,1.0121,1.0169,1
2008.01.16 00:00:00,1.0169,1.0283,1.015,1.0256,1
2008.01.17 00:00:00,1.0256,1.0307,1.018,1.0295,1
2008.01.18 00:00:00,1.0295,1.0306,1.0214,1.0261,1
2008.01.21 00:00:00,1.0261,1.035,1.0258,1.035,1
2008.01.22 00:00:00,1.035,1.0378,1.0204,1.0289,1
2008.01.23 00:00:00,1.0289,1.0317,1.022,1.0232,1
2008.01.24 00:00:00,1.0232,1.0257,1.0029,1.0024,1
2008.01.25 00:00:00,1.0024,1.0109,1.0014,1.0092,1
2008.01.28 00:00:00,1.0092,1.0118,1.002,1.0042,1
2008.01.29 00:00:00,1.0042,1.0069,0.9942,0.998,1
2008.01.30 00:00:00,0.998,1.0001,0.987,0.9931,1
2008.01.31 00:00:00,0.9931,1.0086,0.9923,1.00045,1
2008.02.01 00:00:00,1.0027,1.0034,0.9916,0.9942,1
2008.02.04 00:00:00,0.9942,1.0012,0.992,0.993,1
2008.02.05 00:00:00,0.993,1.008,0.9924,1.007,1
2008.02.06 00:00:00,1.007,1.0102,1.0004,1.0056,1
2008.02.07 00:00:00,1.0056,1.0126,1.0041,1.0094,1
2008.02.08 00:00:00,1.0094,1.0103,0.9946,0.9999,1
2008.02.11 00:00:00,0.9999,1.0035,0.9954,1.0015,1
2008.02.12 00:00:00,1.0015,1.0043,0.9937,1.0018,1
2008.02.13 00:00:00,1.0018,1.0028,0.9963,0.9966,1
2008.02.14 00:00:00,0.9966,1.0015,0.9934,1.0,1
2008.02.15 00:00:00,1.0,1.0112,0.9918,1.0092,1
2008.02.18 00:00:00,1.0092,1.0098,1.0046,1.0073,1
2008.02.19 00:00:00,1.0073,1.0173,1.0018,1.0172,1
2008.02.20 00:00:00,1.0172,1.0197,1.0104,1.0121,1
2008.02.21 00:00:00,1.0121,1.0141,1.0065,1.0109,1
2008.02.22 00:00:00,1.0109,1.0168,1.007,1.0123,1
2008.02.25 00:00:00,1.0123,1.0128,0.9948,0.9957,1
2008.02.26 00:00:00,0.9957,0.9985,0.9781,0.9818,1
2008.02.27 00:00:00,0.9818,0.983,0.9758,0.981,1
2008.02.28 00:00:00,0.981,0.9821,0.9708,0.975,1
2008.02.29 00:00:00,0.975,0.9851,0.9747,0.9799,1
2008.03.03 00:00:00,0.9852,0.9932,0.9825,0.9899,1
2008.03.04 00:00:00,0.9899,0.9976,0.9851,0.9932,1
2008.03.05 00:00:00,0.9932,0.9954,0.9833,0.9842,1
2008.03.06 00:00:00,0.9842,0.9883,0.9816,0.9848,1
2008.03.07 00:00:00,0.9848,0.9923,0.9744,0.9888,1
2008.03.10 00:00:00,0.9888,0.9983,0.9854,0.9964,1
2008.03.11 00:00:00,0.9964,0.9972,0.9891,0.9916,1
2008.03.12 00:00:00,0.9916,0.9936,0.9835,0.9894,1
2008.03.13 00:00:00,0.9894,0.9918,0.9795,0.9828,1
2008.03.14 00:00:00,0.9828,0.9965,0.9814,0.988,1
2008.03.17 00:00:00,0.988,1.001,0.9856,0.9981,1
2008.03.18 00:00:00,0.9981,0.9983,0.989,0.9926,1
2008.03.19 00:00:00,0.9926,1.0173,0.9874,1.0133,1
2008.03.20 00:00:00,1.0133,1.0293,1.0104,1.0243,1
2008.03.21 00:00:00,1.0243,1.0266,1.022,1.025,1
2008.03.24 00:00:00,1.025,1.0308,1.0155,1.0167,1
2008.03.25 00:00:00,1.0167,1.0221,1.0123,1.0178,1
2008.03.26 00:00:00,1.0178,1.0206,1.0092,1.0181,1
2008.03.27 00:00:00,1.0181,1.0233,1.0124,1.0175,1
2008.03.28 00:00:00,1.0175,1.0227,1.014,1.0224,1
2008.03.31 00:00:00,1.0224,1.0292,1.0188,1.024,1
2008.04.01 00:00:00,1.026,1.0325,1.0204,1.0226,1
2008.04.02 00:00:00,1.0226,1.0244,1.0128,1.0142,1
2008.04.03 00:00:00,1.0142,1.0166,1.0024,1.0045,1
2008.04.04 00:00:00,1.0045,1.0102,1.0016,1.0089,1
2008.04.07 00:00:00,1.0089,1.0152,1.0037,1.0144,1
2008.04.08 00:00:00,1.0144,1.0173,1.0104,1.0135,1
2008.04.09 00:00:00,1.0135,1.0217,1.0123,1.0188,1
2008.04.10 00:00:00,1.0188,1.0223,1.0153,1.0193,1
2008.04.11 00:00:00,1.0193,1.0247,1.013,1.0267,1
2008.04.14 00:00:00,1.0267,1.0273,1.0174,1.0184,1
2008.04.15 00:00:00,1.0184,1.0238,1.0161,1.0173,1
2008.04.16 00:00:00,1.0173,1.0186,0.9999,1.0007,1
2008.04.17 00:00:00,1.0007,1.0142,0.9986,1.0101,1
2008.04.18 00:00:00,1.0101,1.0143,1.0023,1.005,1
2008.04.21 00:00:00,1.005,1.0093,0.9996,1.0059,1
2008.04.22 00:00:00,1.0059,1.0152,1.0022,1.0072,1
2008.04.23 00:00:00,1.0072,1.0214,1.0058,1.0169,1
2008.04.24 00:00:00,1.0169,1.0211,1.0119,1.0143,1
2008.04.25 00:00:00,1.0143,1.0204,1.0119,1.0129,1
2008.04.28 00:00:00,1.0129,1.0183,1.0064,1.0134,1
2008.04.29 00:00:00,1.0134,1.0164,1.0106,1.0132,1
2008.04.30 00:00:00,1.0132,1.0143,1.0035,1.0089,1
2008.05.01 00:00:00,1.0065,1.0234,1.0059,1.0193,1
2008.05.02 00:00:00,1.0193,1.0241,1.0145,1.0193,1
2008.05.05 00:00:00,1.0193,1.0198,1.0118,1.0123,1
2008.05.06 00:00:00,1.0123,1.0145,0.9996,1.0022,1
2008.05.07 00:00:00,1.0022,1.0098,1.0003,1.0095,1
2008.05.08 00:00:00,1.0095,1.0177,1.0077,1.0175,1
2008.05.09 00:00:00,1.0175,1.0175,1.0044,1.0064,1
2008.05.12 00:00:00,1.0064,1.0107,1.0022,1.0054,1
2008.05.13 00:00:00,1.0054,1.0094,0.9983,1.0035,1
2008.05.14 00:00:00,1.0035,1.0068,0.9961,1.0024,1
2008.05.15 00:00:00,1.0024,1.0061,0.999,0.9993,1
2008.05.19 00:00:00,0.9993,0.9999,0.9896,0.9915,1
2008.05.20 00:00:00,0.9915,0.9952,0.9871,0.992,1
2008.05.21 00:00:00,0.992,0.9926,0.9816,0.983,1
2008.05.22 00:00:00,0.983,0.9875,0.9825,0.9847,1
2008.05.23 00:00:00,0.9847,0.99,0.9832,0.9885,1
2008.05.26 00:00:00,0.9885,0.9932,0.9858,0.992,1
2008.05.27 00:00:00,0.992,0.9949,0.9865,0.9935,1
2008.05.28 00:00:00,0.9935,0.9958,0.9886,0.9894,1
2008.05.29 00:00:00,0.9894,0.9921,0.9822,0.9887,1
2008.05.30 00:00:00,0.9887,0.9979,0.9871,0.9925,1
2008.06.02 00:00:00,0.995,1.0027,0.9926,1.0015,1
2008.06.03 00:00:00,1.0015,1.0095,0.9966,1.0094,1
2008.06.04 00:00:00,1.0094,1.019,1.0078,1.0171,1
2008.06.05 00:00:00,1.0171,1.0221,1.014,1.0183,1
2008.06.09 00:00:00,1.0183,1.0242,1.0148,1.0232,1
2008.06.10 00:00:00,1.0232,1.0321,1.0193,1.0217,1
2008.06.11 00:00:00,1.0217,1.0245,1.0151,1.02,1
2008.06.12 00:00:00,1.02,1.0276,1.0191,1.0236,1
2008.06.13 00:00:00,1.0236,1.0297,1.0214,1.0284,1
2008.06.16 00:00:00,1.0284,1.0298,1.0194,1.0245,1
2008.06.17 00:00:00,1.0245,1.0247,1.0164,1.019,1
2008.06.18 00:00:00,1.019,1.0212,1.0163,1.0172,1
2008.06.19 00:00:00,1.0172,1.0187,1.0107,1.0149,1
2008.06.20 00:00:00,1.0149,1.0195,1.0099,1.0163,1
2008.06.23 00:00:00,1.0163,1.0191,1.0127,1.0156,1
2008.06.24 00:00:00,1.0156,1.0172,1.0108,1.012,1
2008.06.25 00:00:00,1.012,1.0143,1.0085,1.0087,1
2008.06.26 00:00:00,1.0087,1.0142,1.0079,1.0132,1
2008.06.27 00:00:00,1.0132,1.0138,1.0046,1.0102,1
2008.06.30 00:00:00,1.0102,1.0216,1.006,1.0138,1
2008.07.31 00:00:00,1.023,1.0264,1.0212,1.0238,1
2008.08.04 00:00:00,1.0265,1.0371,1.026,1.0366,1
2008.08.05 00:00:00,1.0366,1.0452,1.0359,1.0429,1
2008.08.06 00:00:00,1.0429,1.0493,1.0398,1.0527,1
2008.08.08 00:00:00,1.0527,1.0696,1.0513,1.0674,1
2008.08.11 00:00:00,1.0674,1.0715,1.0609,1.0692,1
2008.08.12 00:00:00,1.0692,1.0728,1.0612,1.0624,1
2008.08.14 00:00:00,1.0624,1.0655,1.0561,1.0649,1
2008.08.15 00:00:00,1.0649,1.0693,1.0578,1.0592,1
2008.08.18 00:00:00,1.0592,1.0647,1.0542,1.0642,1
2008.08.19 00:00:00,1.0642,1.0668,1.0592,1.0606,1
2008.08.20 00:00:00,1.0606,1.0652,1.0573,1.0601,1
2008.08.21 00:00:00,1.0601,1.0606,1.042,1.0441,1
2008.08.22 00:00:00,1.0441,1.0487,1.0418,1.048,1
2008.08.25 00:00:00,1.048,1.0518,1.0438,1.0504,1
2008.08.26 00:00:00,1.0504,1.0561,1.0409,1.0482,1
2008.08.27 00:00:00,1.0482,1.0495,1.0424,1.0472,1
2008.08.28 00:00:00,1.0472,1.0537,1.043,1.0512,1
2008.08.29 00:00:00,1.0512,1.0644,1.0468,1.0556,1
2008.09.01 00:00:00,1.0613,1.0693,1.0611,1.0672,1
2008.09.02 00:00:00,1.0672,1.0747,1.0658,1.067,1
