Time,Open,High,Low,Close,Volume 
2008.10.20 00:00:00,1.3401,1.353,1.3284,1.333,1
2008.10.21 00:00:00,1.333,1.3353,1.3049,1.3063,1
2008.10.22 00:00:00,1.3063,1.3076,1.2771,1.2827,1
2008.10.23 00:00:00,1.2827,1.3003,1.2726,1.2971,1
2008.10.24 00:00:00,1.2971,1.2978,1.2496,1.2548,1
2008.10.27 00:00:00,1.2548,1.2685,1.2332,1.2472,1
2008.10.28 00:00:00,1.2472,1.2742,1.2328,1.2765,1
2008.10.29 00:00:00,1.2765,1.2991,1.2624,1.2963,1
2008.10.30 00:00:00,1.2963,1.3294,1.2801,1.2852,1
2008.10.31 00:00:00,1.2852,1.2894,1.2665,1.27795,1
2008.11.03 00:00:00,1.2748,1.2898,1.2594,1.263,1
2008.11.04 00:00:00,1.263,1.3036,1.2525,1.2978,1
2008.11.05 00:00:00,1.2978,1.3116,1.279,1.2959,1
2008.11.06 00:00:00,1.2959,1.2965,1.2699,1.2715,1
2008.11.07 00:00:00,1.2715,1.285,1.2651,1.2818,1
2008.11.10 00:00:00,1.2818,1.2927,1.2716,1.2754,1
2008.11.11 00:00:00,1.2754,1.2799,1.2504,1.2526,1
2008.11.12 00:00:00,1.2526,1.2632,1.2466,1.2503,1
2008.11.13 00:00:00,1.2503,1.2853,1.2387,1.2784,1
2008.11.14 00:00:00,1.2784,1.2827,1.2614,1.2532,1
2008.11.17 00:00:00,1.2532,1.2741,1.2512,1.2647,1
2008.11.18 00:00:00,1.2647,1.2699,1.2565,1.2615,1
2008.11.19 00:00:00,1.2615,1.2813,1.2516,1.2501,1
2008.11.20 00:00:00,1.2501,1.2593,1.2454,1.2444,1
2008.11.21 00:00:00,1.2444,1.264,1.2422,1.259,1
2008.11.24 00:00:00,1.259,1.2927,1.2565,1.2927,1
2008.11.25 00:00:00,1.2927,1.308,1.2803,1.3061,1
2008.11.26 00:00:00,1.3061,1.307,1.2818,1.2878,1
2008.11.27 00:00:00,1.2878,1.2967,1.2856,1.2901,1
2008.11.28 00:00:00,1.2901,1.2959,1.2644,1.28015,1
2008.12.01 00:00:00,1.2709,1.2711,1.258,1.2608,1
2008.12.02 00:00:00,1.2608,1.2767,1.2561,1.2711,1
2008.12.03 00:00:00,1.2711,1.2741,1.2601,1.2701,1
2008.12.04 00:00:00,1.2701,1.2848,1.2548,1.2786,1
2008.12.05 00:00:00,1.2786,1.2798,1.2625,1.2725,1
2008.12.08 00:00:00,1.2725,1.2963,1.2716,1.2952,1
2008.12.09 00:00:00,1.2952,1.3,1.2795,1.2925,1
2008.12.10 00:00:00,1.2925,1.307,1.2899,1.3012,1
2008.12.11 00:00:00,1.3012,1.3405,1.2999,1.3355,1
2008.12.12 00:00:00,1.3355,1.3415,1.3249,1.3367,1
2008.12.15 00:00:00,1.3367,1.3712,1.3364,1.3701,1
2008.12.16 00:00:00,1.3701,1.4144,1.3629,1.405,1
2008.12.17 00:00:00,1.405,1.4436,1.3993,1.4404,1
2008.12.18 00:00:00,1.4404,1.4719,1.4185,1.4241,1
2008.12.19 00:00:00,1.4241,1.4309,1.3822,1.3931,1
2008.12.22 00:00:00,1.3931,1.4123,1.3899,1.3947,1
2008.12.23 00:00:00,1.3947,1.402,1.3916,1.3938,1
2008.12.24 00:00:00,1.3938,1.4019,1.3911,1.4009,1
2008.12.25 00:00:00,1.4009,1.4047,1.3974,1.4006,1
2008.12.26 00:00:00,1.4006,1.4118,1.3987,1.4059,1
2008.12.29 00:00:00,1.4059,1.4361,1.3967,1.3944,1
2008.12.30 00:00:00,1.3944,1.422,1.3915,1.4065,1
2008.12.31 00:00:00,1.4065,1.4146,1.3848,1.3997,1
2009.01.01 00:00:00,1.3964,1.3999,1.3946,1.399,1
2009.01.02 00:00:00,1.399,1.4055,1.3837,1.3901,1
2009.01.05 00:00:00,1.3901,1.3963,1.3544,1.3608,1
2009.01.06 00:00:00,1.3608,1.3656,1.3308,1.3528,1
2009.01.07 00:00:00,1.3528,1.3746,1.3429,1.365,1
2009.01.08 00:00:00,1.365,1.3798,1.3532,1.3707,1
2009.01.09 00:00:00,1.3707,1.3749,1.3412,1.3472,1
2009.01.12 00:00:00,1.3472,1.3475,1.3286,1.3359,1
2009.01.13 00:00:00,1.3359,1.3373,1.314,1.3189,1
2009.01.14 00:00:00,1.3189,1.3335,1.3091,1.3183,1
2009.01.15 00:00:00,1.3183,1.3241,1.3025,1.3125,1
2009.01.16 00:00:00,1.3125,1.3343,1.3109,1.3325,1
2009.01.19 00:00:00,1.3325,1.3385,1.3099,1.3088,1
2009.01.20 00:00:00,1.3088,1.3103,1.2854,1.2905,1
2009.01.21 00:00:00,1.2905,1.3068,1.2824,1.3049,1
2009.01.22 00:00:00,1.3049,1.3082,1.2906,1.3001,1
2009.01.23 00:00:00,1.3001,1.3033,1.2763,1.2968,1
2009.01.26 00:00:00,1.2968,1.3206,1.2859,1.3179,1
2009.01.27 00:00:00,1.3179,1.3328,1.3116,1.3161,1
2009.01.28 00:00:00,1.3161,1.3324,1.31,1.3152,1
2009.01.29 00:00:00,1.3152,1.3179,1.2931,1.2951,1
2009.01.30 00:00:00,1.2951,1.2958,1.2775,1.28665,1
2009.02.02 00:00:00,1.2767,1.2898,1.2704,1.2847,1
2009.02.03 00:00:00,1.2847,1.3056,1.28,1.3027,1
2009.02.04 00:00:00,1.3027,1.3069,1.2811,1.2851,1
2009.02.05 00:00:00,1.2851,1.2903,1.2756,1.2794,1
2009.02.06 00:00:00,1.2794,1.2991,1.2746,1.296,1
2009.02.09 00:00:00,1.296,1.3093,1.2871,1.3011,1
2009.02.10 00:00:00,1.3011,1.3074,1.2808,1.2915,1
2009.02.11 00:00:00,1.2915,1.2999,1.2831,1.29,1
2009.02.12 00:00:00,1.29,1.2942,1.272,1.2869,1
2009.02.13 00:00:00,1.2869,1.2942,1.2817,1.2787,1
2009.02.16 00:00:00,1.2787,1.2825,1.2725,1.2789,1
2009.02.17 00:00:00,1.2789,1.2808,1.256,1.2581,1
2009.02.18 00:00:00,1.2581,1.2639,1.2511,1.2533,1
2009.02.19 00:00:00,1.2533,1.2759,1.2524,1.2668,1
2009.02.20 00:00:00,1.2668,1.2882,1.2555,1.2795,1
2009.02.23 00:00:00,1.2795,1.2991,1.269,1.2693,1
2009.02.24 00:00:00,1.2693,1.2876,1.266,1.284,1
2009.02.25 00:00:00,1.284,1.2901,1.2689,1.2717,1
2009.02.26 00:00:00,1.2717,1.2809,1.2681,1.2743,1
2009.02.27 00:00:00,1.2743,1.2751,1.2602,1.26765,1
2009.03.02 00:00:00,1.2625,1.2635,1.2544,1.2576,1
2009.03.03 00:00:00,1.2576,1.2677,1.252,1.2555,1
2009.03.04 00:00:00,1.2555,1.2657,1.2455,1.2659,1
2009.03.05 00:00:00,1.2659,1.2663,1.2478,1.2545,1
2009.03.06 00:00:00,1.2545,1.2754,1.2529,1.2666,1
2009.03.09 00:00:00,1.2666,1.2727,1.2551,1.2602,1
2009.03.10 00:00:00,1.2602,1.2821,1.2576,1.2681,1
2009.03.11 00:00:00,1.2681,1.2864,1.2615,1.2839,1
2009.03.12 00:00:00,1.2839,1.2945,1.273,1.2913,1
2009.03.13 00:00:00,1.2913,1.2956,1.2861,1.2883,1
2009.03.16 00:00:00,1.2883,1.307,1.2834,1.2981,1
2009.03.17 00:00:00,1.2981,1.3032,1.2928,1.3012,1
2009.03.18 00:00:00,1.3012,1.3517,1.2984,1.3517,1
2009.03.19 00:00:00,1.3517,1.3737,1.3416,1.3659,1
2009.03.20 00:00:00,1.3659,1.3727,1.3514,1.3631,1
2009.03.23 00:00:00,1.3631,1.3735,1.3485,1.3621,1
2009.03.24 00:00:00,1.3621,1.3677,1.343,1.347,1
2009.03.25 00:00:00,1.347,1.3649,1.3416,1.3586,1
2009.03.26 00:00:00,1.3586,1.3638,1.3492,1.3524,1
2009.03.27 00:00:00,1.3524,1.3591,1.3255,1.3224,1
2009.03.30 00:00:00,1.3224,1.3285,1.3111,1.3201,1
2009.03.31 00:00:00,1.3201,1.3342,1.3172,1.3257,1
2009.04.01 00:00:00,1.3246,1.3286,1.3165,1.3225,1
2009.04.02 00:00:00,1.3225,1.3516,1.322,1.3457,1
2009.04.03 00:00:00,1.3457,1.3495,1.3362,1.3509,1
2009.04.06 00:00:00,1.3509,1.3581,1.3356,1.3394,1
2009.04.07 00:00:00,1.3394,1.3407,1.3225,1.3265,1
2009.04.08 00:00:00,1.3265,1.3309,1.3144,1.3264,1
2009.04.09 00:00:00,1.3264,1.3335,1.3124,1.3164,1
2009.04.10 00:00:00,1.3164,1.3188,1.3088,1.3187,1
2009.04.13 00:00:00,1.3187,1.3391,1.3125,1.3366,1
2009.04.14 00:00:00,1.3366,1.338,1.3225,1.3258,1
2009.04.15 00:00:00,1.3258,1.3296,1.3145,1.321,1
2009.04.16 00:00:00,1.321,1.3267,1.3125,1.3182,1
2009.04.17 00:00:00,1.3182,1.3197,1.3016,1.3045,1
2009.04.20 00:00:00,1.3045,1.3048,1.2883,1.2919,1
2009.04.21 00:00:00,1.2919,1.2993,1.2895,1.2946,1
2009.04.22 00:00:00,1.2946,1.3036,1.2883,1.2993,1
2009.04.23 00:00:00,1.2993,1.316,1.2978,1.3136,1
2009.04.24 00:00:00,1.3136,1.3301,1.3111,1.324,1
2009.04.27 00:00:00,1.324,1.3245,1.2997,1.3018,1
2009.04.28 00:00:00,1.3018,1.3166,1.2962,1.3138,1
2009.04.29 00:00:00,1.3138,1.334,1.3119,1.3251,1
2009.04.30 00:00:00,1.3251,1.3384,1.3189,1.32865,1
2009.05.01 00:00:00,1.3225,1.3327,1.3216,1.3285,1
2009.05.04 00:00:00,1.3285,1.3425,1.3209,1.3408,1
2009.05.05 00:00:00,1.3408,1.3437,1.328,1.3305,1
2009.05.06 00:00:00,1.3305,1.3374,1.3245,1.3307,1
2009.05.07 00:00:00,1.3307,1.347,1.3249,1.339,1
2009.05.08 00:00:00,1.339,1.365,1.334,1.3645,1
2009.05.11 00:00:00,1.3645,1.3667,1.3553,1.357,1
2009.05.12 00:00:00,1.357,1.3706,1.3562,1.3642,1
2009.05.13 00:00:00,1.3642,1.3721,1.3564,1.3595,1
2009.05.14 00:00:00,1.3595,1.3663,1.3523,1.3633,1
2009.05.15 00:00:00,1.3633,1.3649,1.346,1.3484,1
2009.05.18 00:00:00,1.3484,1.3563,1.342,1.3553,1
2009.05.19 00:00:00,1.3553,1.3668,1.3529,1.3625,1
2009.05.20 00:00:00,1.3625,1.383,1.3581,1.376,1
2009.05.21 00:00:00,1.376,1.3923,1.3726,1.3892,1
2009.05.22 00:00:00,1.3892,1.405,1.3891,1.4032,1
2009.05.25 00:00:00,1.4032,1.4034,1.3956,1.4009,1
2009.05.26 00:00:00,1.4009,1.4022,1.3856,1.3986,1
2009.05.27 00:00:00,1.3986,1.4,1.3821,1.3832,1
2009.05.28 00:00:00,1.3832,1.3982,1.379,1.3934,1
2009.05.29 00:00:00,1.3934,1.4168,1.3923,1.40455,1
2009.06.01 00:00:00,1.4122,1.4246,1.4097,1.4146,1
2009.06.02 00:00:00,1.4146,1.4331,1.4099,1.4308,1
2009.06.03 00:00:00,1.4308,1.4337,1.4106,1.4144,1
2009.06.04 00:00:00,1.4144,1.424,1.4067,1.4175,1
2009.06.05 00:00:00,1.4175,1.4266,1.393,1.3942,1
2009.06.08 00:00:00,1.3942,1.4001,1.3803,1.3894,1
2009.06.09 00:00:00,1.3894,1.41,1.385,1.4066,1
2009.06.10 00:00:00,1.4066,1.4144,1.3912,1.3962,1
2009.06.11 00:00:00,1.3962,1.4177,1.3939,1.4098,1
2009.06.12 00:00:00,1.4098,1.4128,1.3934,1.3986,1
2009.06.15 00:00:00,1.3986,1.4001,1.3753,1.3786,1
2009.06.16 00:00:00,1.3786,1.3932,1.3747,1.3834,1
2009.06.17 00:00:00,1.3834,1.3984,1.3805,1.3941,1
2009.06.18 00:00:00,1.3941,1.4001,1.3869,1.3902,1
2009.06.19 00:00:00,1.3902,1.4011,1.3881,1.395,1
2009.06.22 00:00:00,1.395,1.3952,1.3824,1.3858,1
2009.06.23 00:00:00,1.3858,1.4106,1.3826,1.4075,1
2009.06.24 00:00:00,1.4075,1.4138,1.3886,1.3933,1
2009.06.25 00:00:00,1.3933,1.4013,1.3887,1.3992,1
2009.06.26 00:00:00,1.3992,1.4118,1.3981,1.4062,1
2009.06.29 00:00:00,1.4062,1.4103,1.3981,1.4078,1
2009.06.30 00:00:00,1.4078,1.4152,1.3999,1.40755,1
2009.07.01 00:00:00,1.4032,1.4201,1.3999,1.4148,1
2009.07.02 00:00:00,1.4148,1.4154,1.3927,1.3935,1
2009.07.03 00:00:00,1.3935,1.4027,1.3934,1.3955,1
2009.07.06 00:00:00,1.3955,1.3998,1.3874,1.3975,1
2009.07.07 00:00:00,1.3975,1.405,1.39,1.3917,1
2009.07.08 00:00:00,1.3917,1.3938,1.383,1.3871,1
2009.07.09 00:00:00,1.3871,1.4072,1.3855,1.4021,1
2009.07.10 00:00:00,1.4021,1.403,1.3876,1.3945,1
2009.07.13 00:00:00,1.3945,1.4001,1.3895,1.3979,1
2009.07.14 00:00:00,1.3979,1.4015,1.3909,1.3967,1
2009.07.15 00:00:00,1.3967,1.4134,1.3961,1.41,1
2009.07.16 00:00:00,1.41,1.4165,1.4053,1.4142,1
2009.07.17 00:00:00,1.4142,1.4147,1.406,1.4114,1
2009.07.20 00:00:00,1.4114,1.4249,1.4107,1.4222,1
2009.07.21 00:00:00,1.4222,1.4277,1.4161,1.4217,1
2009.07.22 00:00:00,1.4217,1.4257,1.4152,1.4205,1
2009.07.23 00:00:00,1.4205,1.4291,1.4118,1.4157,1
2009.07.24 00:00:00,1.4157,1.4253,1.4133,1.4225,1
2009.07.27 00:00:00,1.4225,1.4299,1.417,1.4242,1
2009.07.28 00:00:00,1.4242,1.4303,1.4127,1.4172,1
2009.07.29 00:00:00,1.4172,1.4195,1.4005,1.4033,1
2009.07.30 00:00:00,1.4033,1.4094,1.4005,1.4064,1
2009.07.31 00:00:00,1.4064,1.4279,1.4062,1.41705,1
2009.08.03 00:00:00,1.4266,1.4445,1.4204,1.4415,1
2009.08.04 00:00:00,1.4415,1.4433,1.4365,1.4391,1
2009.08.05 00:00:00,1.4391,1.4446,1.4354,1.4414,1
2009.08.06 00:00:00,1.4414,1.4431,1.4327,1.4353,1
2009.08.07 00:00:00,1.4353,1.4414,1.4152,1.4173,1
2009.08.10 00:00:00,1.4173,1.4218,1.4102,1.4144,1
2009.08.11 00:00:00,1.4144,1.4185,1.4108,1.4146,1
2009.08.12 00:00:00,1.4146,1.4246,1.4082,1.4201,1
2009.08.13 00:00:00,1.4201,1.4327,1.4199,1.428,1
2009.08.14 00:00:00,1.428,1.4306,1.4158,1.4185,1
2009.08.17 00:00:00,1.4185,1.4194,1.4044,1.4072,1
2009.08.18 00:00:00,1.4072,1.4154,1.4065,1.4131,1
2009.08.19 00:00:00,1.4131,1.4267,1.4081,1.4232,1
2009.08.20 00:00:00,1.4232,1.4276,1.4199,1.4246,1
2009.08.21 00:00:00,1.4246,1.4375,1.4207,1.4341,1
2009.08.24 00:00:00,1.4341,1.4359,1.4278,1.4296,1
2009.08.25 00:00:00,1.4296,1.4361,1.4251,1.4301,1
2009.08.26 00:00:00,1.4301,1.4349,1.4204,1.4243,1
2009.08.27 00:00:00,1.4243,1.4404,1.4217,1.4343,1
2009.08.28 00:00:00,1.4343,1.4388,1.4279,1.4305,1
